Postcode,State,Fuel Type, Registrations as at 31 January 2021 , Registrations as at 31 January 2022 , Registrations as at 31 January 2023 
2067,NSW,HFCEV, -   , -   , -   
2067,NSW,Hybrid/PHEV, 447 , 561 , 762 
2068,NSW,ICE," 10,187 "," 10,061 "," 9,797 "
2068,NSW,BEV, 42 , 88 , 159 
2068,NSW,HFCEV, -   , -   , -   
2068,NSW,Hybrid/PHEV, 191 , 235 , 260 
2069,NSW,ICE," 8,975 "," 8,934 "," 8,592 "
2069,NSW,BEV, 37 , 76 , 144 
2069,NSW,HFCEV, -   , -   , -   
2069,NSW,Hybrid/PHEV, 260 , 323 , 318 
2070,NSW,ICE," 8,495 "," 8,449 "," 8,371 "
2070,NSW,BEV, 37 , 69 , 145 
2070,NSW,HFCEV, -   , -   , -   
2070,NSW,Hybrid/PHEV, 229 , 279 , 326 
2071,NSW,ICE," 8,314 "," 8,133 "," 7,956 "
2071,NSW,BEV, 49 , 77 , 147 
2071,NSW,HFCEV, -   , -   , -   
2071,NSW,Hybrid/PHEV, 231 , 268 , 324 
2072,NSW,ICE," 5,097 "," 5,134 "," 5,113 "
2072,NSW,BEV, 13 , 31 , 66 
2072,NSW,HFCEV, -   , -   , -   
2072,NSW,Hybrid/PHEV, 147 , 187 , 230 
2073,NSW,ICE," 11,961 "," 11,477 "," 11,297 "
2073,NSW,BEV, 54 , 87 , 176 
2073,NSW,HFCEV, -   , -   , -   
2073,NSW,Hybrid/PHEV, 531 , 399 , 450 
2074,NSW,ICE," 14,772 "," 14,574 "," 14,429 "
2074,NSW,BEV, 51 , 99 , 194 
2074,NSW,HFCEV, -   , -   , -   
2074,NSW,Hybrid/PHEV, 318 , 374 , 448 
2075,NSW,ICE," 13,871 "," 13,743 "," 13,483 "
2075,NSW,BEV, 49 , 102 , 211 
2075,NSW,HFCEV, -   , -   , -   
2075,NSW,Hybrid/PHEV, 300 , 334 , 411 
2076,NSW,ICE," 15,263 "," 15,060 "," 14,873 "
2076,NSW,BEV, 42 , 72 , 171 
2076,NSW,HFCEV, -   , -   , -   
2076,NSW,Hybrid/PHEV, 331 , 371 , 459 
2077,NSW,ICE," 23,086 "," 22,938 "," 22,992 "
2077,NSW,BEV, 24 , 54 , 112 
2077,NSW,HFCEV, -   , -   , -   
2077,NSW,Hybrid/PHEV, 392 , 505 , 675 
2079,NSW,ICE," 5,086 "," 5,025 "," 5,030 "
2079,NSW,BEV, 3 , 10 , 28 
2079,NSW,HFCEV, -   , -   , -   
2079,NSW,Hybrid/PHEV, 55 , 80 , 110 
2080,NSW,ICE," 1,726 "," 1,733 "," 1,704 "
2080,NSW,BEV, -   , 6 , 10 
2080,NSW,HFCEV, -   , -   , -   
2080,NSW,Hybrid/PHEV, 17 , 30 , 40 
2081,NSW,ICE," 3,572 "," 3,543 "," 3,553 "
2081,NSW,BEV, 4 , 5 , 15 
2081,NSW,HFCEV, -   , -   , -   
2081,NSW,Hybrid/PHEV, 39 , 52 , 75 
2082,NSW,ICE," 3,629 "," 3,617 "," 3,669 "
2082,NSW,BEV, 3 , 5 , 17 
2082,NSW,HFCEV, -   , -   , -   
2082,NSW,Hybrid/PHEV, 33 , 46 , 53 
2083,NSW,ICE," 1,222 "," 1,233 "," 1,189 "
2083,NSW,BEV, 3 , 3 , 6 
2083,NSW,HFCEV, -   , -   , -   
2083,NSW,Hybrid/PHEV, 11 , 14 , 16 
2084,NSW,ICE," 3,250 "," 3,301 "," 3,319 "
2084,NSW,BEV, 17 , 27 , 36 
2084,NSW,HFCEV, -   , -   , -   
2084,NSW,Hybrid/PHEV, 47 , 55 , 65 
2085,NSW,ICE," 8,494 "," 8,396 "," 8,347 "
2085,NSW,BEV, 19 , 33 , 63 
2085,NSW,HFCEV, -   , -   , -   
2085,NSW,Hybrid/PHEV, 115 , 144 , 173 
2086,NSW,ICE," 9,428 "," 9,437 "," 9,368 "
2086,NSW,BEV, 20 , 36 , 64 
2086,NSW,HFCEV, -   , -   , -   
2086,NSW,Hybrid/PHEV, 118 , 164 , 201 
2087,NSW,ICE," 8,344 "," 8,301 "," 8,219 "
2087,NSW,BEV, 10 , 23 , 57 
2087,NSW,HFCEV, -   , -   , -   
2087,NSW,Hybrid/PHEV, 114 , 146 , 185 
2088,NSW,ICE," 17,947 "," 17,736 "," 17,354 "
2088,NSW,BEV, 96 , 169 , 307 
2088,NSW,HFCEV, -   , -   , -   
2088,NSW,Hybrid/PHEV, 363 , 452 , 561 
2089,NSW,ICE," 6,424 "," 6,322 "," 6,281 "
2089,NSW,BEV, 20 , 35 , 64 
2089,NSW,HFCEV, -   , -   , -   
2089,NSW,Hybrid/PHEV, 110 , 143 , 162 
2090,NSW,ICE," 7,436 "," 7,405 "," 7,395 "
2090,NSW,BEV, 30 , 55 , 93 
2090,NSW,HFCEV, -   , -   , -   
2090,NSW,Hybrid/PHEV, 146 , 168 , 198 
2092,NSW,ICE," 4,635 "," 4,569 "," 4,505 "
2092,NSW,BEV, 21 , 36 , 64 
2092,NSW,HFCEV, -   , -   , -   
2092,NSW,Hybrid/PHEV, 59 , 71 , 86 
2093,NSW,ICE," 14,151 "," 14,081 "," 14,051 "
2093,NSW,BEV, 44 , 77 , 153 
2093,NSW,HFCEV, -   , -   , -   
2093,NSW,Hybrid/PHEV, 236 , 257 , 310 
2094,NSW,ICE," 3,464 "," 3,534 "," 3,469 "
2094,NSW,BEV, 16 , 27 , 46 
2094,NSW,HFCEV, -   , -   , -   
2094,NSW,Hybrid/PHEV, 45 , 59 , 89 
2095,NSW,ICE," 9,074 "," 9,117 "," 9,030 "
2095,NSW,BEV, 42 , 68 , 112 
2095,NSW,HFCEV, -   , -   , -   
2095,NSW,Hybrid/PHEV, 123 , 171 , 203 
2096,NSW,ICE," 9,231 "," 9,262 "," 9,052 "
2096,NSW,BEV, 27 , 49 , 81 
2096,NSW,HFCEV, -   , -   , -   
2096,NSW,Hybrid/PHEV, 89 , 126 , 167 
2097,NSW,ICE," 10,481 "," 10,402 "," 10,303 "
2097,NSW,BEV, 15 , 32 , 58 
2097,NSW,HFCEV, -   , -   , -   
2097,NSW,Hybrid/PHEV, 73 , 108 , 148 
2099,NSW,ICE," 26,339 "," 26,304 "," 26,197 "
2099,NSW,BEV, 32 , 60 , 114 
2099,NSW,HFCEV, -   , -   , -   
2099,NSW,Hybrid/PHEV, 365 , 502 , 665 
2100,NSW,ICE," 17,311 "," 17,003 "," 17,058 "
2100,NSW,BEV, 27 , 49 , 117 
2100,NSW,HFCEV, -   , -   , -   
2100,NSW,Hybrid/PHEV, 198 , 258 , 339 
2101,NSW,ICE," 13,572 "," 13,478 "," 13,613 "
2101,NSW,BEV, 32 , 46 , 73 
2101,NSW,HFCEV, -   , -   , -   
2101,NSW,Hybrid/PHEV, 109 , 143 , 177 
2102,NSW,ICE," 6,069 "," 6,022 "," 6,109 "
2102,NSW,BEV, 3 , 15 , 28 
2102,NSW,HFCEV, -   , -   , -   
2102,NSW,Hybrid/PHEV, 52 , 69 , 101 
2103,NSW,ICE," 8,270 "," 8,475 "," 8,403 "
2103,NSW,BEV, 11 , 36 , 62 
2103,NSW,HFCEV, -   , -   , -   
2103,NSW,Hybrid/PHEV, 99 , 119 , 157 
2104,NSW,ICE," 2,896 "," 2,871 "," 2,857 "
2104,NSW,BEV, 14 , 22 , 42 
2104,NSW,HFCEV, -   , -   , -   
2104,NSW,Hybrid/PHEV, 42 , 49 , 55 
2105,NSW,ICE," 1,490 "," 1,484 "," 1,473 "
2105,NSW,BEV, 4 , 10 , 24 
2105,NSW,HFCEV, -   , -   , -   
2105,NSW,Hybrid/PHEV, 23 , 27 , 39 
2106,NSW,ICE," 7,201 "," 7,118 "," 7,007 "
2106,NSW,BEV, 13 , 32 , 49 
2106,NSW,HFCEV, -   , -   , -   
2106,NSW,Hybrid/PHEV, 89 , 122 , 134 
2107,NSW,ICE," 11,591 "," 11,355 "," 11,235 "
2107,NSW,BEV, 35 , 59 , 118 
2107,NSW,HFCEV, -   , -   , -   
2107,NSW,Hybrid/PHEV, 121 , 178 , 211 
2108,NSW,ICE," 1,470 "," 1,486 "," 1,439 "
2108,NSW,BEV, 7 , 18 , 26 
2108,NSW,HFCEV, -   , -   , -   
2108,NSW,Hybrid/PHEV, 18 , 29 , 30 
2110,NSW,ICE," 6,295 "," 6,229 "," 6,092 "
2110,NSW,BEV, 36 , 65 , 127 
2110,NSW,HFCEV, -   , -   , -   
2110,NSW,Hybrid/PHEV, 113 , 139 , 167 
2111,NSW,ICE," 10,402 "," 10,511 "," 10,487 "
2111,NSW,BEV, 21 , 38 , 86 
2111,NSW,HFCEV, -   , -   , -   
2111,NSW,Hybrid/PHEV, 205 , 257 , 318 
2112,NSW,ICE," 21,506 "," 21,653 "," 21,904 "
2112,NSW,BEV, 37 , 75 , 161 
2112,NSW,HFCEV, -   , -   , -   
2112,NSW,Hybrid/PHEV, 454 , 584 , 720 
2113,NSW,ICE," 18,707 "," 19,316 "," 19,084 "
2113,NSW,BEV, 54 , 180 , 420 
2113,NSW,HFCEV, -   , -   , -   
2113,NSW,Hybrid/PHEV, 490 , 671 ," 1,017 "
2114,NSW,ICE," 13,629 "," 13,844 "," 13,969 "
2114,NSW,BEV, 14 , 25 , 71 
2114,NSW,HFCEV, -   , -   , -   
2114,NSW,Hybrid/PHEV, 309 , 391 , 459 
2115,NSW,ICE," 7,324 "," 7,287 "," 7,378 "
2115,NSW,BEV, 8 , 18 , 52 
2115,NSW,HFCEV, -   , -   , -   
2115,NSW,Hybrid/PHEV, 135 , 168 , 211 
2116,NSW,ICE," 7,448 "," 7,383 "," 7,374 "
2116,NSW,BEV, 7 , 13 , 26 
2116,NSW,HFCEV, -   , -   , -   
2116,NSW,Hybrid/PHEV, 209 , 321 , 359 
2117,NSW,ICE," 12,932 "," 12,743 "," 12,705 "
2117,NSW,BEV, 7 , 29 , 80 
2117,NSW,HFCEV, -   , -   , -   
2117,NSW,Hybrid/PHEV, 277 , 347 , 415 
2118,NSW,ICE," 15,818 "," 15,728 "," 15,779 "
2118,NSW,BEV, 21 , 42 , 123 
2118,NSW,HFCEV, -   , -   , -   
2118,NSW,Hybrid/PHEV, 515 , 608 , 721 
2119,NSW,ICE," 7,485 "," 7,444 "," 7,339 "
2119,NSW,BEV, 32 , 56 , 105 
2119,NSW,HFCEV, -   , -   , -   
