,Vehicle,Cost per km,Cost per 100 km
347,Lotus Eletre R,0.068928,6.8928
348,Mercedes-Benz EQS SUV Maybach 680,0.06921519999999999,6.921519999999999
349,Volkswagen ID. Buzz LWB GTX ,0.06950239999999999,6.950239999999999
350,Hongqi E-HS9 99 kWh,0.0697896,6.978959999999999
351,BYD TANG,0.0697896,6.978959999999999
352,Hongqi E-HS9 120 kWh,0.0697896,6.978959999999999
353,Mercedes-Benz eVito Tourer Long 60 kWh,0.07840559999999999,7.840559999999999
354,Mercedes-Benz EQV 250 Long,0.0801288,8.01288
355,Mercedes-Benz eVito Tourer Extra-Long 60 kWh,0.0801288,8.01288
356,Mercedes-Benz eVito Tourer Long 90 kWh,0.0807032,8.07032
357,Mercedes-Benz EQV 250 Extra-Long,0.0821392,8.21392
358,Mercedes-Benz EQV 300 Long,0.0821392,8.21392
359,Mercedes-Benz G 580,0.0924784,9.24784
